DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            16.036              17.423            -1.387         3.025
RESSURF           16.924              18.212            -1.288         5.244
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.210               1.402            -0.191         0.244
CLDHGH            24.746              24.500             0.246         1.283
CLDLOW            27.327              27.876            -0.549         1.604
CLDMED            15.419              14.955             0.464         1.032
CLDTOT            43.772              43.902            -0.130         1.565
EKE_850           33.837              33.902            -0.065         1.407
EP             1.519e-02           1.723e-02        -2.040e-03         0.206
FLNS              70.132              69.996             0.136         1.759
FLNSC             93.015              92.793             0.222         1.499
FLNT             226.548             229.007            -2.459         2.937
FLNTC            249.673             252.115            -2.442         2.654
FSDS             207.553             209.439            -1.885         3.679
FSDSC            264.911             268.223            -3.312         3.525
FSNS             163.342             165.735            -2.393         3.979
FSNSC            211.947             215.567            -3.620         5.742
FSNSC_ICE         47.974              48.193            -0.219         4.929
FSNSC_LAND       190.901             194.240            -3.339         4.366
FSNT             242.584             246.430            -3.846         4.798
FSNTC            285.947             291.203            -5.256         6.762
ICEAREA           14.714              14.028             0.686         0.069
LHFLX             52.141              53.112            -0.971         3.948
LWCF              23.125              23.108             0.017         1.163
PRECT              1.751               1.785            -0.033         0.184
PRECT_LAND         1.486               1.518            -0.033         0.168
PRECT_OCEAN        2.222               2.251            -0.029         0.213
PREH2O            14.611              15.417            -0.806         0.981
PREH2O_OCEAN      20.320              21.236            -0.917         1.217
PSI_200           -7.812              -7.945             0.133         0.173
PS               977.035             977.282            -0.248         0.527
PSL             1015.986            1016.164            -0.179         0.483
QFLX               1.767               1.802            -0.035         0.122
SHFLX             24.145              24.415            -0.270         2.291
SNOWHLND           6.835               6.493             0.343         2.417
SST               16.124              16.714            -0.590         0.677
STRESS_MAG         0.046               0.045             0.001         0.005
SWCF             -43.363             -44.773             1.410         3.353
T_850            276.696             277.583            -0.887         0.940
TGCLDLWP         115.147             117.057            -1.910         7.758
TGCLDIWP          20.730              20.283             0.447         1.178
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.350             282.238            -0.888         0.991
TS               281.871             282.762            -0.891         1.021
TS_LAND          280.196             281.237            -1.041         1.119
U_200             20.968              21.264            -0.296         1.059
VT_850             0.455               0.451             0.005         0.743
Z3_500            56.022              56.234            -0.212         0.221
